Текст сообщения(С учетом словоформ?),Фильтр ЧПН,id фильтра который дергаем из базы
Москва,Москва,
Москвы,Москва,
Москве,Москва,
Москву,Москва,
Москвой,Москва,
мск,Москва,
Санкт-Петербург,Санкт-Петербург,
Севастополь,Севастополь,
Владивосток,Владивосток,
Екатеринбург,Екатеринбург,
Калуга,Калуга,
Ростов-на-Дону,Ростов-на-Дону,
Казань,Казань,
Нижний Новгород,Нижний Новгород,
Новосибирск,Новосибирск,
Сочи,Сочи,
Ялта,Ялта,
Симферополь,Симферополь,
Евпатория,Евпатория,
Гурзуф,Гурзуф,
санкт-петербург,Санкт-Петербург,
санкт-Петербург,Санкт-Петербург,
Санкт-петербург,Санкт-Петербург,
Санкт Петербург,Санкт-Петербург,
Питер,Санкт-Петербург,
СанктПетербург,Санкт-Петербург,
Санктпетербург,Санкт-Петербург,
Петербур,Санкт-Петербург,
спб,Санкт-Петербург,
москва,Москва,
Москвае,Москва,
Москвеа,Москва,
Москве,Москва,
Москвак,Москва,
Москвк,Москва,
Москва,Москва,
Москв,Москва,
Москваа,Москва,
Москаа,Москва,
Москвыа,Москва,
Москыва,Москва,
Москыа,Москва,
Москвса,Москва,
Москсва,Москва,
Москса,Москва,
Москвча,Москва,
Москчва,Москва,
Москча,Москва,
Москвка,Москва,
Москка,Москва,
Москвуа,Москва,
Москуа,Москва,
Москав,Москва,
Моска,Москва,
Москева,Москва,
Мосеква,Москва,
Мосева,Москва,
Москува,Москва,
Мосуква,Москва,
Мосува,Москва,
Москава,Москва,
Мосава,Москва,
Москвва,Москва,
Мосвва,Москва,
Мосвка,Москва,
Мосва,Москва,
Москква,Москва,
Мосаква,Москва,
Моасква,Москва,
Моаква,Москва,
Мосвква,Москва,
Мовсква,Москва,
Мовква,Москва,
Мосмква,Москва,
Момсква,Москва,
Момква,Москва,
Мосчква,Москва,
Мочсква,Москва,
Мочква,Москва,
Моксва,Москва,
Моква,Москва,
Моссква,Москва,
Москвс,Москва,
Москвас,Москва,
Москвм,Москва,
Москвма,Москва,
Молсква,Москва,
Млосква,Москва,
Млсква,Москва,
Москвам,Москва,
Морсква,Москва,
Москвв,Москва,
Москвав,Москва,
Мросква,Москва,
Мрсква,Москва,
Моьсква,Москва,
Мтосква,Москва,
Мтсква,Москва,
Мошсква,Москва,
Мшосква,Москва,
Мшсква,Москва,
Мгсква,Москва,
Мсоква,Москва,
Моосква,Москва,
оМсква,Москва,
осква,Москва,
ММосква,Москва,
Мjcrdf,Москва,
Москвап,Москва,
Москвпа,Москва,
Мсква,Москва,
Мгосква,Москва,
Могсква,Москва,
Москвп,Москва,
Мотсква,Москва,
Мьсква,Москва,
Мьосква,Москва,
Санкт-Петербург,Санкт-Петербург,
Санкт-Петербурге,Санкт-Петербург,
Питере,Санкт-Петербург,
Санкт Петербурге,Санкт-Петербург,
Санкт Петербургу,Санкт-Петербург,
Петербургу,Санкт-Петербург,
Питера,Санкт-Петербург,
Питеру,Санкт-Петербург,
Питере,Санкт-Петербург,
СПБ,Санкт-Петербург,
спб,Санкт-Петербург,
Питером,Санкт-Петербург,
Санкт-Петербурга,Санкт-Петербург,
Санкт-Петербургу,Санкт-Петербург,
Санкт-Петербургом,Санкт-Петербург,
Санкт-Петербурге,Санкт-Петербург,
Севас,Севастополь,
Севастополя,Севастополь,
Севастополю,Севастополь,
Севастополем,Севастополь,
Севастополе,Севастополь,
Влад,Владивосток,
Владик,Владивосток,
Владивостока,Владивосток,
Владивостоку,Владивосток,
Владивостоком,Владивосток,
Владивостоке,Владивосток,
