Текст сообщения(С учетом словоформ?),Фильтр ЧПН,id фильтра который дергаем из базы
диджей,dj,
сет,dj,
микс,dj,
трек,dj,
пианист,пианист,
пианино,пианист,
живая музыка,пианист,
парковка,бесплатная парковка,
паркинг,бесплатная парковка,
машина,бесплатная парковка,
дети,детская анимация,
ребенок,детская анимация,
выпечка,выпечка,
хлеб,выпечка,
торт,выпечка,
пирог,выпечка,
,меню на английском,
вино,сомелье,
дегустация,сомелье,
активность,проходят мастер-классы,
интересное,проходят мастер-классы,
деятельное,проходят мастер-классы,
еда,кулинария,
поесть,кулинария,
вкусно,кулинария,
порт,местоположение у воды,
воды,местоположение у воды,
на набережной,местоположение у воды,
баркас,местоположение у воды,
берег,местоположение у воды,
поздний завтрак,бранчи,
,,
вино,винный погреб,
коллекция,винный погреб,
сорт,винный погреб,
алкоголь,винный погреб,
ребенок,детская анимация по выходным,
малыш,детская анимация по выходным,
маленький,детская анимация по выходным,
вино,дегустация,
сомелье,дегустация,
шары,бильярд,
игра,бильярд,
вино,винотека,
винишко,винотека,
алкоголь,винотека,
коллекция,винотека,
сомелье,винотека,
сорт,винотека,
выступление,Шоу-программа,
мероприятие,Шоу-программа,
вечеринка,Шоу-программа,
тусовка,Шоу-программа,
дети,детское меню,
малыш,детское меню,
маленький,детское меню,
специальное,детское меню,
вайфай,WiFI,
подключение,WiFI,
интернет,WiFI,
24,круглосуточная кухня,
спорт,спортивные трансляции,
футбол,спортивные трансляции,
хоккей,спортивные трансляции,
евро,спортивные трансляции,
чемпионат,спортивные трансляции,
формула 1,спортивные трансляции,
Спартак,спортивные трансляции,
Зенит,спортивные трансляции,
Лига,спортивные трансляции,
Чемпионов,спортивные трансляции,
MMA,спортивные трансляции,
ММА,спортивные трансляции,
Бокс,спортивные трансляции,
Кубок,спортивные трансляции,
ЦСКА,спортивные трансляции,
открытая,летняя терраса (курящая),
веранда,летняя терраса (курящая),
улица,летняя терраса (курящая),
банковские,принимаются кредитные карты,
безнал,принимаются кредитные карты,
visa,принимаются кредитные карты,
master card,принимаются кредитные карты,
карта,принимаются кредитные карты,
кредитка,принимаются кредитные карты,
круглосуточно,круглосуточный режим работы,
всегда,круглосуточный режим работы,
24,круглосуточный режим работы,
посмотреть,кинопоказы,
кино,кинопоказы,
фильм,кинопоказы,
открытая,летняя терраса,
веранда,летняя терраса,
улица,летняя терраса,
танцпол,танцпол,
потанцевать,танцпол,
зажигать,танцпол,
устрицы,устричный бар,
караоке,караоке,
петь,караоке,
игры,настольные игры,
настолки,настольные игры,
квесты,настольные игры,
поиграть,настольные игры,
компания,настольные игры,
курить,летняя терраса с выделенной зоной для курения,
террасса,летняя терраса с выделенной зоной для курения,
веранда,летняя терраса с выделенной зоной для курения,
улица,летняя терраса с выделенной зоной для курения,
кальян,кальян,
покурить,кальян,
дымить,кальян,
паровой коктейль,кальян,
панорама,с интересным видом,
высотка,с интересным видом,
на крыше,с интересным видом,
особенное,с интересным видом,
живая,живая музыка вечером,
музыканты,живая музыка вечером,
группа,живая музыка вечером,
атмосфера,живая музыка вечером,
выступать,живая музыка вечером,
стойка,барная стойка,
бар,барная стойка,
бармен,барная стойка,
коктейль,барная стойка,
выпить,барная стойка,
