Текст сообщения(С учетом словоформ?),Фильтр ЧПН,id фильтра который дергаем из базы
Авиамоторная,Авиамоторная,
Автозаводская,Автозаводская,
Академическая,Академическая,
Александровский сад,Александровский сад,
Алексеевская,Алексеевская,
Алма-Атинская,Алма-Атинская,
Алтуфьево,Алтуфьево,
Аннино,Аннино,
Арбатская,Арбатская,
Арбатская,Арбатская,
Аэропорт,Аэропорт,
Бабушкинская,Бабушкинская,
Багратионовская,Багратионовская,
Баррикадная,Баррикадная,
Бауманская,Бауманская,
Беговая,Беговая,
Белорусская,Белорусская,
Белорусская,Белорусская,
Беляево,Беляево,
Бибирево,Бибирево,
Библиотека имени Ленина,Библиотека имени Ленина,
Битцевский парк,Битцевский парк,
Борисово,Борисово,
Боровицкая,Боровицкая,
Ботанический сад,Ботанический сад,
Братиславская,Братиславская,
Бульвар Адмирала Ушакова,Бульвар Адмирала Ушакова,
Бульвар Дмитрия Донского,Бульвар Дмитрия Донского,
Бунинская Аллея,Бунинская Аллея,
Варшавская,Варшавская,
ВДНХ,ВДНХ,
Владыкино,Владыкино,
Водный стадион,Водный стадион,
Войковская,Войковская,
Волгоградский проспект,Волгоградский проспект,
Волжская,Волжская,
Волоколамская,Волоколамская,
Воробьевы горы,Воробьевы горы,
Выставочная,Выставочная,
Выхино,Выхино,
Деловой центр,Деловой центр,
Динамо,Динамо,
Дмитровская,Дмитровская,
Добрынинская,Добрынинская,
Домодедовская,Домодедовская,
Достоевская,Достоевская,
Дубровка,Дубровка,
Жулебино,Жулебино,
Зябликово,Зябликово,
Измайловская,Измайловская,
Калужская,Калужская,
Кантемировская,Кантемировская,
Каховская,Каховская,
Каширская,Каширская,
Каширская,Каширская,
Киевская,Киевская,
Киевская,Киевская,
Киевская,Киевская,
Китай-город,Китай-город,
Китай-город,Китай-город,
Кожуховская,Кожуховская,
Коломенская,Коломенская,
Комсомольская,Комсомольская,
Комсомольская,Комсомольская,
Коньково,Коньково,
Котельники,Котельники,
Красногвардейская,Красногвардейская,
Красносельская,Красносельская,
Красные ворота,Красные ворота,
Кропоткинская,Кропоткинская,
Крылатское,Крылатское,
Кузьминки,Кузьминки,
Кунцевская,Кунцевская,
Курская,Курская,
Курская,Курская,
Ленинский проспект,Ленинский проспект,
Лермонтовский проспект,Лермонтовский проспект,
Лесопарковая,Лесопарковая,
Лубянка,Лубянка,
Люблино,Люблино,
Марксистская,Марксистская,
Марьина роща,Марьина роща,
Марьино,Марьино,
Маяковская,Маяковская,
Медведково,Медведково,
Международная,Международная,
Менделеевская,Менделеевская,
Митино,Митино,
Молодежная,Молодежная,
Мякинино,Мякинино,
Нагатинская,Нагатинская,
Нагорная,Нагорная,
Нахимовский Проспект,Нахимовский Проспект,
Новогиреево,Новогиреево,
Новокосино,Новокосино,
Новокузнецкая,Новокузнецкая,
Новослободская,Новослободская,
Новоясеневская,Новоясеневская,
Новые Черемушки,Новые Черемушки,
Октябрьская,Октябрьская,
Октябрьская,Октябрьская,
Октябрьское поле,Октябрьское поле,
Орехово,Орехово,
Отрадное,Отрадное,
Охотный ряд,Охотный ряд,
Павелецкая,Павелецкая,
Павелецкая,Павелецкая,
Парк Культуры,Парк Культуры,
Парк Победы,Парк Победы,
Партизанская,Партизанская,
Первомайская,Первомайская,
Перово,Перово,
Петровско-Разумовская,Петровско-Разумовская,
Печатники,Печатники,
Планерная,Планерная,
Площадь Ильича,Площадь Ильича,
Полежаевская,Полежаевская,
Полянка,Полянка,
Преображенская площадь,Преображенская площадь,
Пролетарская,Пролетарская,
Проспект Мира,Проспект Мира,
Проспект Мира,Проспект Мира,
Пушкинская,Пушкинская,
Пятницкое шоссе,Пятницкое шоссе,
Речной вокзал,Речной вокзал,
Рижская,Рижская,
Римская,Римская,
Румянцево,Румянцево,
Рязанский проспект,Рязанский проспект,
Савеловская,Савеловская,
Саларьево,Саларьево,
Свиблово,Свиблово,
Севастопольская,Севастопольская,
Семеновская,Семеновская,
Серпуховская,Серпуховская,
Славянский бульвар,Славянский бульвар,
Смоленская,Смоленская,
Смоленская,Смоленская,
Сокол,Сокол,
Сокольники,Сокольники,
Спартак,Спартак,
Спортивная,Спортивная,
Сретенский бульвар,Сретенский бульвар,
Строгино,Строгино,
Студенческая,Студенческая,
Сухаревская,Сухаревская,
Сходненская,Сходненская,
Таганская,Таганская,
Таганская,Таганская,
Тверская,Тверская,
Театральная,Театральная,
Текстильщики,Текстильщики,
Теплый стан,Теплый стан,
Технопарк,Технопарк,
Тимирязевская,Тимирязевская,
Третьяковская,Третьяковская,
Третьяковская,Третьяковская,
Тропарёво,Тропарёво,
Трубная,Трубная,
Тульская,Тульская,
Тургеневская,Тургеневская,
Тушинская,Тушинская,
Улица 1905 года,Улица 1905 года,
Улица академика Янгеля,Улица академика Янгеля,
Улица Горчакова,Улица Горчакова,
Улица Скобелевская,Улица Скобелевская,
Улица Старокачаловская,Улица Старокачаловская,
Университет,Университет,
Филевский парк,Филевский парк,
Фили,Фили,
Фрунзенская,Фрунзенская,
Царицыно,Царицыно,
Цветной бульвар,Цветной бульвар,
Черкизовская,Черкизовская,
Чертановская,Чертановская,
Чеховская,Чеховская,
Чистые пруды,Чистые пруды,
Чкаловская,Чкаловская,
Шаболовская,Шаболовская,
Шипиловская,Шипиловская,
Шоссе Энтузиастов,Шоссе Энтузиастов,
Щелковская,Щелковская,
Щукинская,Щукинская,
Электрозаводская,Электрозаводская,
Юго-Западная,Юго-Западная,
Южная,Южная,
Ясенево,Ясенево,
