Текст сообщения(С учетом словоформ?),Фильтр ЧПН,id фильтра который дергаем из базы
ужин с друзьями,ужин с друзьями,1
посидеть,ужин с друзьями,1
поболтать,ужин с друзьями,1
пирушка,ужин с друзьями,1
встретиться,ужин с друзьями,1
междусобойчик,ужин с друзьями,1
слет,ужин с друзьями,1
мама,семейный ужин,2
папа,семейный ужин,2
сестра,семейный ужин,2
брат,семейный ужин,2
дядя,семейный ужин,2
тетя,семейный ужин,2
узкий круг,семейный ужин,2
близкий круг,семейный ужин,2
семья,семейный ужин,2
,мальчишник,3
вечеринка,мальчишник,3
пирушка,мальчишник,3
туса,мальчишник,3
тусовка,мальчишник,3
сосисочная вечеринка,мальчишник,3
гулянка,мальчишник,3
праздновать,мальчишник,3
,деловой ужин/обед,4
встреча,деловой ужин/обед,4
партнер,деловой ужин/обед,4
коллеги,деловой ужин/обед,4
начальник,деловой ужин/обед,4
бизнес,деловой ужин/обед,4
,познакомиться,5
встретиться,познакомиться,5
завести,познакомиться,5
завязать,познакомиться,5
подцепить,познакомиться,5
клеить,познакомиться,5
подружиться,познакомиться,5
телочку,познакомиться,5
снять,познакомиться,5
закадрить,познакомиться,5
связи,познакомиться,5
,произвести впечатление,6
удивить,произвести впечатление,6
впечатлить,произвести впечатление,6
вау,произвести впечатление,6
лакшери,произвести впечатление,6
премиум,произвести впечатление,6
дорого богато,произвести впечатление,6
,романтическая встреча,7
свидание,романтическая встреча,7
девушка,романтическая встреча,7
любимая,романтическая встреча,7
жена,романтическая встреча,7
супруга,романтическая встреча,7
романтика,романтическая встреча,7
камин,романтическая встреча,7
свечи,романтическая встреча,7
предложение,романтическая встреча,7
дата,романтическая встреча,7
любовь,романтическая встреча,7
чувства,романтическая встреча,7
рассказать,романтическая встреча,7
рассвет,романтическая встреча,7
,потанцевать,8
тусить,потанцевать,8
танцы,потанцевать,8
барная стойка,потанцевать,8
дискотека,потанцевать,8
клуб,потанцевать,8
танцульки,потанцевать,8
пляски,потанцевать,8
зажигать,потанцевать,8
пати,потанцевать,8
party,потанцевать,8
праздновать,потанцевать,8
день рождения,потанцевать,8
,девичник,9
туса,девичник,9
посиделки,девичник,9
тусовка,девичник,9
вечеринка,девичник,9
пирушка,девичник,9
гулянка,девичник,9
праздновать,девичник,9
,банкет,10
торжество,банкет,10
застолье,банкет,10
пир,банкет,10
бал,банкет,10
праздновать,банкет,10
,деловой завтрак,11
бизнес завтрак,деловой завтрак,11
деловой завтрак,деловой завтрак,11
,after party,12
after party,after party,12
афте пати,after party,12
лаундж,after party,12
рано утром,after party,12
продолжить,after party,12
,pre-party,13
размяться,pre-party,13
настроиться,pre-party,13
pre-party,pre-party,13
препати,pre-party,13
перед,pre-party,13
перекусить,бизнес ланч,14
пообедать,бизнес ланч,14
поклевать,бизнес ланч,14
рядом с работой,бизнес ланч,14
по быстрому,бизнес ланч,14
бранч,поздний завтрак,15
весело напиться,весело напиться,16
выпить,весело напиться,16
пиво,весело напиться,16
вечеринка,весело напиться,16
танцы,весело напиться,16
шоты,весело напиться,16
глубинная бомба,весело напиться,16
бухнуть,весело напиться,16
наебениться,весело напиться,16
алкопати,весело напиться,16
угореть,весело напиться,16
дико угореть,весело напиться,16
одичать,весело напиться,16
залудить,весело напиться,16
упороться,весело напиться,16
нажраться,весело напиться,16
затусить,весело напиться,16
накидаться,весело напиться,16
тусыч,весело напиться,16
попойка,весело напиться,16
свадьба,свадьба,17
банкет,свадьба,17
торжество,свадьба,17
брак,свадьба,17
жениться,свадьба,17
застолье,свадьба,17
законный,свадьба,17
бракосочетание,свадьба,17
жених,свадьба,17
невеста,свадьба,17
замуж,свадьба,17
